400	3.72419619389119E-006 	1	Wavelenght(nm)	[W/m**2/str/nm]/SAND-4	integration_time(s)
405	3.19157467771429E-006
410	0.000002959
415	0.000002979
420	2.98567186976007E-006
425	0.000002825
430	2.53288825357829E-006
435	0.000002319
440	2.21958551766907E-006
445	2.2100813475872E-006
450	2.27470892281522E-006
455	0.000002239
460	2.18177128293968E-006
465	2.0932908385636E-006
470	2.02707573045749E-006
475	1.98527841159768E-006
480	1.95270306158461E-006
485	1.86265878848875E-006
490	1.78181784338715E-006
495	1.72492963375161E-006
500	1.70435640488847E-006
505	1.65459288663885E-006
510	1.63490286967218E-006
515	1.54926048877742E-006
520	0.000001502
525	1.41012578502298E-006
530	1.42782506784014E-006
535	0.000001405
540	1.37235553711983E-006
545	1.34373933260209E-006
550	1.33453218189458E-006
555	1.31673750367401E-006
560	1.3075330046985E-006
565	1.26173318055125E-006
570	1.24483594472357E-006
575	1.21030765455341E-006
580	1.23557619437136E-006
585	1.22267320517586E-006
590	1.23940981066192E-006
595	0.000001201
600	1.21856030341823E-006
605	1.21808671591076E-006
610	1.21865232614619E-006
615	1.2203457782489E-006
620	1.218436786957E-006
625	1.21750406087152E-006
630	0.000001226
635	1.24474224849008E-006
640	1.28957008852431E-006
645	1.32425761695373E-006
650	1.32954591689465E-006
655	1.33038364759001E-006
660	1.34694118558271E-006
665	0.000001399
670	1.43207623852315E-006
675	1.45335945585059E-006
680	0.000001517
685	1.48583514661923E-006
690	1.52193904334191E-006
695	1.49576363723448E-006
700	1.6061071913229E-006
705	1.70591948422436E-006
710	1.84853337150184E-006
715	1.9355497552224E-006
720	2.01526597111415E-006
725	2.11474879051597E-006
730	2.23817154300756E-006
