400	8.02781040000017E-006 0.5 Wavelenght(nm) W/m**2/str/nm/SAND-3 integration_time(s)
405	7.59793318180573E-006
410	7.20265085248995E-006
415	0.00000684
420	6.50820963664015E-006
425	6.20535800351564E-006
430	5.92971576609017E-006
435	5.67957441640596E-006
440	5.45328059264007E-006
445	5.24923607910589E-006
450	5.06589780625009E-006
455	4.90177785065579E-006
460	4.75544343504013E-006
465	4.62551692825573E-006
470	4.51067584528994E-006
475	4.40965284726589E-006
480	4.32123574143996E-006
485	4.24426748120538E-006
490	4.17764616609037E-006
495	4.12032504175594E-006
500	4.07131250000018E-006
505	4.0296720787557E-006
510	3.99452246209014E-006
515	0.000003965
520	3.94044610944053E-006
525	0.00000392
530	3.90313583729007E-006
535	3.8891506192556E-006
540	3.87752637904013E-006
545	3.86776782365585E-006
550	3.85943480625046E-006
555	3.85214232610581E-006
560	3.84556052864009E-006
565	3.8394147054056E-006
570	3.83348529409003E-006
575	3.82760787851578E-006
580	3.82167318864051E-006
585	3.81562710055633E-006
590	3.80947063649025E-006
595	3.80325996480579E-006
600	3.7971063999997E-006
605	3.79117640270587E-006
610	3.78569157969007E-006
615	3.78092868385572E-006
620	3.77721961424037E-006
625	0.000003775
630	3.77456628049039E-006
635	3.77656154510516E-006
640	3.78148969344065E-006
645	0.00000379
650	3.80263030625003E-006
655	3.82022346855581E-006
660	3.84351091024045E-006
665	3.87332084555601E-006
670	3.91053663489015E-006
675	3.95609678476645E-006
680	0.000004011
685	4.07627992290614E-006
690	4.15305565488978E-006
695	4.24248123485601E-006
700	4.3457709000003E-006
705	4.46419403365658E-006
710	4.59907516528989E-006
715	4.75179397050555E-006
720	4.92378527104003E-006
725	5.11653903476593E-006
730	5.33160037568961E-006
