400	1.25263827863165E-006	1	Wavelenght(nm)	[W/m**2/str/nm]/SAND-4
405	1.14512048958571E-006			
410	1.21447118088629E-006			
415	1.171415575409E-006			
420	1.12362227146687E-006			
425	1.16252519007861E-006			
430	1.0382206187544E-006			
435	9.83369002343832E-007			
440	8.54470088730255E-007			
445	8.54891221640885E-007			
450	8.57872021496898E-007			
455	8.14850241745329E-007			
460	8.16894390554226E-007			
465	7.69091357488667E-007			
470	7.65641196421005E-007			
475	7.21321413351876E-007			
480	7.5314514293727E-007			
485	7.03776183196485E-007			
490	6.8689807538949E-007			
495	6.32339265503419E-007			
500	6.31933343882645E-007			
505	6.12769314137395E-007			
510	6.18404269572397E-007			
515	5.86079099509406E-007			
520	0.000000579			
525	0.000000531			
530	5.22681579847027E-007			
535	5.02811512035228E-007			
540	0.000000488			
545	4.76582621982996E-007			
550	4.69359712996238E-007			
555	4.57642440343456E-007			
560	4.54365145187197E-007			
565	4.45414918081958E-007			
570	4.4265232037044E-007			
575	4.27389450875997E-007			
580	4.16146114868949E-007			
585	0.0000004			
590	4.02058420698665E-007			
595	3.96730695215497E-007			
600	3.98289096563507E-007			
605	3.94191810375424E-007			
610	3.93178604188872E-007			
615	3.93630105793556E-007			
620	0.000000395			
625	3.93495807521855E-007			
630	3.97190333914202E-007			
635	4.02349489544959E-007			
640	4.11433422455047E-007			
645	4.20357964292266E-007			
650	0.000000434			
655	4.37254830369446E-007			
660	4.47757629550908E-007			
665	4.5578997523852E-007			
670	4.68268241471851E-007			
675	0.000000472			
680	5.04058817161195E-007			
685	5.03737524102309E-007			
690	5.21202320311235E-007			
695	5.05920717077378E-007			
700	0.000000531			
705	5.49845961601506E-007			
710	5.8064352780026E-007			
715	0.000000607			
720	6.31595471760873E-007			
725	6.62649283300205E-007			
730	7.188743525863E-007			

