400	4.7438426998731E-006	1	Wavelenght(nm)	[W/m**2/str/nm]/SAND-4
405	3.7385688558261E-006			
410	0.0000034			
415	2.81810869195917E-006			
420	2.38016707898853E-006			
425	2.13006891440387E-006			
430	1.725128716591E-006			
435	1.51247920550331E-006			
440	1.2162347138105E-006			
445	1.1242973094242E-006			
450	1.04185538509587E-006			
455	9.38600374344469E-007			
460	8.74716901497223E-007			
465	7.89410220634094E-007			
470	7.44534481790468E-007			
475	6.77400031374727E-007			
480	6.79604283046972E-007			
485	6.2690700680435E-007			
490	6.12621608622335E-007			
495	5.69632041357129E-007			
500	5.71058894971893E-007			
505	5.55171531427764E-007			
510	5.48666138819261E-007			
515	5.23215830663524E-007			
520	5.09483129343593E-007			
525	4.72778151990636E-007			
530	4.59946679892658E-007			
535	0.000000444			
540	4.28168855671428E-007			
545	4.1237225478096E-007			
550	3.99071118390763E-007			
555	3.84773662262915E-007			
560	3.77296530179102E-007			
565	3.66807742572529E-007			
570	3.62663231409912E-007			
575	3.51752700513906E-007			
580	3.46306580247934E-007			
585	3.33946236699394E-007			
590	3.34373961305378E-007			
595	3.28555470664924E-007			
600	3.30333497318235E-007			
605	3.27300629535177E-007			
610	3.26251427177474E-007			
615	3.258188281983E-007			
620	3.23836322758234E-007			
625	0.00000032			
630	0.000000321			
635	3.26096803494624E-007			
640	3.31117487367253E-007			
645	3.35488526141488E-007			
650	3.46258150836149E-007			
655	3.47147375307374E-007			
660	0.000000353			
665	3.55103814297201E-007			
670	3.64833270653E-007			
675	0.000000368			
680	3.78204959416597E-007			
685	0.000000375			
690	3.84882521196867E-007			
695	3.85603110212666E-007			
700	4.04782565462014E-007			
705	4.21151045983016E-007			
710	4.3826612753562E-007			
715	4.51297357489477E-007			
720	4.60839217685243E-007			
725	4.80752609189719E-007			
730	5.15305411748791E-007			

